Date,open,high,low,close,volume,volume_ratio
2024-01-02 00:00:00-05:00,401.40666672202366,401.6539357629906,395.8678341675219,398.1921691894531,58026900,1.0
2024-01-03 00:00:00-05:00,395.5612266441927,396.6195453935678,393.5435329837988,393.97869873046875,47002800,0.8950382606062857
2024-01-04 00:00:00-05:00,392.10936665213654,395.22495060961353,391.73351287096733,391.95111083984375,39432800,0.818886562256641
2024-01-05 00:00:00-05:00,392.11927431902103,395.1952868342146,391.0213840335171,392.4159851074219,44922800,0.9488128170454624
2024-01-08 00:00:00-05:00,393.6424659771053,400.81326913387153,393.4941105693252,400.5264587402344,42473800,0.915939896255959
2024-01-09 00:00:00-05:00,397.5195783571153,402.24736090042086,397.32175106373893,401.317626953125,39132900,0.8664366475763121
2024-01-10 00:00:00-05:00,401.63418024922,405.0464750326956,400.7440177050181,404.0376281738281,33962800,0.7795896309879367
2024-01-11 00:00:00-05:00,405.3135528853883,406.7081539785194,399.8241617506112,404.87835693359375,54536200,1.21363149564245
2024-01-12 00:00:00-05:00,405.91684940375336,406.75757017530395,403.69142804717114,405.0860290527344,39595000,0.892927840114662
2024-01-16 00:00:00-05:00,403.84970451009025,406.62900624283634,402.3858608543528,405.0464782714844,43903000,0.9910629835052338
2024-01-17 00:00:00-05:00,401.73313165435087,403.137603088809,398.5186336985363,402.7617492675781,54386000,1.2028067353606433
2024-01-18 00:00:00-05:00,406.0355875350851,409.0621585664853,404.69045826966845,408.4786071777344,59562500,1.2833576478509707
2024-01-19 00:00:00-05:00,410.6842460201119,416.73738790383584,410.10069464862477,416.5791320800781,70325100,1.4574857483930972
2024-01-22 00:00:00-05:00,418.7847792861086,420.09036718235046,416.51978621850566,417.1231384277344,44880600,0.9348132957381701
2024-01-23 00:00:00-05:00,417.81545577614327,419.07160187962575,415.9757885155932,418.85400390625,33003800,0.7020621232168611
2024-01-24 00:00:00-05:00,422.77074262172437,425.15441993814665,420.68377609813024,421.1783142089844,46948000,0.9987674429427134
2024-01-25 00:00:00-05:00,423.68068017138546,424.3532749490194,419.34855163077793,421.6926574707031,44367200,0.9469908301988469
2024-01-26 00:00:00-05:00,419.80351225091505,421.5541662899098,418.52759547851645,419.1803894042969,37137000,0.8019033607517858
2024-01-29 00:00:00-05:00,419.6353410088851,423.6707887359302,418.98254710644517,423.47296142578125,38694700,0.8428343933162894
2024-01-30 00:00:00-05:00,422.43446911616866,423.00812005564006,419.74418052978876,420.65411376953125,36739000,0.8083095782341871
2024-01-31 00:00:00-05:00,416.2527821469301,418.25070547983444,412.23713463649926,412.4151611328125,64010600,1.399113414991597
